cuisines,cuisines_code
"North Indian, Chinese, Fast Food, Rolls, Beverages",1741
"North Indian, Chinese, Mangalorean",1762
"Biryani, North Indian, Chinese, Hyderabadi",420
"Chinese, North Indian, Kerala",816
"Arabian, Afghan",111
"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",778
"Biryani, Hyderabadi, Chinese",387
"Mughlai, Chinese, North Indian",1590
"Burger, Continental, Fast Food",469
"Mughlai, North Indian",1597
"Finger Food, Chinese, Italian, Burger",1234
"Chinese, Street Food",854
"Rajasthani, North Indian, Street Food",2097
"Biryani, Chinese, North Indian, Kebab",372
"South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",2207
"Mediterranean, Middle Eastern, Wraps, Rolls",1536
"Turkish, Rolls",2406
"Chinese, Thai, American, Momos",859
"North Indian, Rolls, Chinese, Biryani",1958
"Steak, Continental, Burger, BBQ",2318
"Biryani, North Indian, Fast Food, Chinese",428
"Biryani, Fast Food, Rolls, Momos",383
"Kerala, Seafood, South Indian, North Indian, Chinese",1468
"Lebanese, Greek",1488
"North Indian, Continental, Mediterranean, Chinese",1843
"Cafe, Continental, Pizza, Salad",598
"Cafe, Continental, Italian, Burger, Pizza",585
"Rolls, Kebab",2106
"North Indian, Seafood, Biryani, Kerala",1964
"Biryani, North Indian, Desserts",427
"Lebanese, Middle Eastern",1491
"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1504
"Beverages, Desserts, Fast Food",300
"Rolls, Salad, Sandwich",2114
"North Indian, South Indian, Chinese, Continental, Mangalorean",1992
"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",848
"Andhra, Seafood, Biryani",97
"BBQ, Fast Food",221
"Italian, American, Fast Food, Wraps, Rolls, Salad",1344
"American, European",26
"North Indian, Continental, Chinese, Steak",1833
"Finger Food, Asian, European, Italian",1232
"Goan, Chinese, Biryani",1264
"Continental, Beverages, Burger, Coffee, Desserts",912
"North Eastern, Chinese",1615
"Asian, American, Mexican",166
"Biryani, North Indian, Chinese, Andhra",417
"Continental, Mediterranean, North Indian, Chinese, Finger Food",991
"Biryani, North Indian, Andhra",412
"Turkish, Desserts",2403
"South Indian, Kerala, Seafood",2256
"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",861
"North Indian, Arabian, South Indian, Chinese",1634
"Arabian, North Indian, Chinese",151
"Finger Food, Continental, North Indian",1240
"Fast Food, Seafood",1217
"Burger, Beverages, Fast Food",465
"Salad, Italian, Desserts, Pizza",2130
"North Indian, Rolls, Street Food",1960
"Mughlai, North Indian, Turkish, Afghan",1609
"Biryani, Mughlai, Chinese",405
"Mediterranean, Pizza, Italian, Beverages",1538
"North Indian, Mughlai, Chinese, Rolls",1933
"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",1900
"Chinese, Naga",794
"Chinese, Thai, Asian",860
"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",270
"Chinese, Continental, North Indian, Burger, Pizza, Seafood",751
"Fast Food, Italian",1177
"Italian, North Indian, Healthy Food, Desserts",1377
"Burger, Beverages, Rolls",466
"Street Food, Sandwich, Beverages",2360
"Biryani, Fast Food, North Indian, Chinese",381
"Chinese, Continental, Seafood, North Indian",760
"Fast Food, North Indian, South Indian, Chinese",1199
"Mughlai, North Indian, Andhra",1598
"Biryani, North Indian, Chinese, Mughlai",423
"North Indian, Kerala",1897
"Kerala, South Indian, Desserts",1472
"Arabian, Mediterranean",138
"South Indian, Chettinad, North Indian",2210
"Continental, Steak, Fast Food",1051
"North Indian, Chinese, Street Food, Biryani",1808
"Continental, Fast Food, Italian, North Indian",955
"Chinese, Andhra, Mangalorean",723
"Mughlai, Fast Food",1594
"Fast Food, Sandwich, Burger",1212
"Finger Food, North Indian, Seafood, Mangalorean, Chinese",1256
"North Indian, Chinese, Fast Food, Rolls",1740
"North Indian, Fast Food, Biryani",1856
"Healthy Food, Beverages, Mexican, Burger, Italian",1275
"Pizza, Burger",2061
"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",2149
"Chinese, Mongolian",793
"Arabian, Fast Food",129
Kashmiri,1419
"Cafe, Chinese, Continental",547
"Thai, Chinese",2381
"Continental, Pizza, Chinese",1037
"Fast Food, Sandwich, Italian",1213
"Salad, Healthy Food, Street Food",2129
"Kerala, Tea",1479
"Biryani, South Indian, North Indian, Fast Food",458
"North Indian, Fast Food, Chinese, Beverages",1859
"Juices, Beverages, Fast Food",1403
"Chinese, Sushi, Asian, Thai",857
Korean,1483
"Chinese, Italian, Fast Food, Momos",780
"Andhra, Chinese",68
"North Indian, Hyderabadi, Continental",1876
"Asian, Salad, Italian",203
"North Indian, Arabian, Mughlai, Middle Eastern, Grill",1633
"Bakery, Desserts, Italian, North Indian, Fast Food",241
"Mexican, Continental, Italian, Chinese",1542
"Chinese, Burger",740
"Continental, Asian, North Indian",905
"Continental, American, Chinese, BBQ, Salad",888
"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",453
"North Indian, BBQ, Kebab, Rolls",1641
"South Indian, Seafood, North Indian, Beverages",2302
"North Indian, BBQ",1639
"Desserts, Paan",1090
"Seafood, Fast Food",2159
"Chinese, Kerala, North Indian, South Indian",784
"American, Fast Food",28
"Ice Cream, Beverages, Desserts",1319
"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",212
"Biryani, Chettinad, Kerala, Maharashtrian, North Indian",358
"Fast Food, Rolls, Juices",1206
"European, American, Continental, North Indian, Steak",1098
"Tibetan, Asian, Momos",2392
"Mithai, Oriya, Bengali",1555
"Chinese, Rolls, Momos",841
"Beverages, North Indian, Chinese, Italian",330
"Chinese, North Indian, Continental",809
"North Indian, Mughlai, Chinese, South Indian",1936
"Healthy Food, North Indian, Biryani, Continental, Desserts",1289
"Cafe, Burger, Rolls, Beverages",542
"Desserts, Street Food, Mithai",1094
"Fast Food, Desserts, Rolls",1171
"Desserts, Continental",1076
"Desserts, Beverages, Cafe, Ice Cream",1066
"Beverages, Ice Cream, Desserts",314
"Desserts, Beverages, American",1064
"Cafe, Bakery, Arabian, Fast Food",514
"Cafe, Beverages, Fast Food, Street Food",527
"Juices, Desserts, Fast Food",1408
"South Indian, North Indian, Chinese, Street Food, Fast Food",2282
"Arabian, Chinese, North Indian, Kerala, Seafood",127
"Arabian, Chinese, Hyderabadi, Kerala",122
"Chinese, Fast Food, Continental",768
"Fast Food, Biryani",1133
"Chinese, Arabian, Rolls",725
"Continental, North Indian, Chinese, American, Pizza, Finger Food",1007
"Mediterranean, Pizza, Continental, Seafood, Salad",1537
"Chinese, American, Continental, Italian, North Indian",721
"Pizza, Continental, North Indian, Asian",2068
"Continental, Finger Food, Asian, North Indian",960
"Continental, American, Italian, Modern Indian, Pizza, Burger",892
"American, North Indian, Pizza, Finger Food, Continental, Italian",43
"North Indian, Mughlai, Chinese, Seafood",1934
"Continental, American, North Indian, Chinese",894
"American, Continental, Finger Food",16
"Finger Food, North Indian, Continental, Pizza",1254
"Continental, Parsi, Chinese, North Indian, Italian, Steak",1034
Assamese,208
"Biryani, Andhra, Kebab",349
"Chinese, North Indian, Fast Food, Street Food",813
"Kerala, Konkan",1449
"Beverages, Fast Food, Street Food",310
"Beverages, Fast Food, Burger",305
"Chinese, Kerala",782
"Continental, Italian, Fast Food",978
"Street Food, Tea",2363
"Fast Food, North Indian, Chinese, South Indian",1194
"Italian, North Indian, Lebanese",1378
"Cafe, Modern Indian, Pizza, Burger, Desserts",676
"Continental, Burger, Pizza, Steak",921
"Mediterranean, Arabian, Lebanese",1525
"Sandwich, Fast Food, Momos",2137
"American, Continental, Steak",24
"Arabian, Chinese, Fast Food",120
"Chinese, North Indian, South Indian, Street Food",832
"North Indian, Chinese, Thai, Momos",1816
"Modern Indian, American, Chinese",1564
"Finger Food, Salad, Chinese, Continental",1257
"Continental, American, South Indian, Italian, North Indian, Chinese",897
"BBQ, North Indian, Continental, Chinese",224
"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",994
"Continental, North Indian, South Indian, Chinese",1031
"Continental, South Indian, North Indian, Asian",1048
"Seafood, North Indian, Chinese, Biryani",2173
"North Indian, South Indian, Asian, Italian, Continental",1976
"North Indian, Chinese, Continental, Mangalorean",1725
"Continental, Chinese, Italian",935
"North Indian, Chinese, Thai, Continental",1815
"Continental, Mughlai",998
"Chinese, Continental, North Indian, Pizza, South Indian",757
"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",710
"North Indian, Chinese, Mangalorean, Andhra",1763
"Cafe, Sandwich, Pizza, North Indian, Mexican",699
"Cafe, Continental, Thai, Chinese",607
"Cafe, Fast Food, Continental",623
"Cafe, Bakery, Desserts",518
"Cafe, Mughlai",677
"Beverages, Sandwich, Fast Food",336
"North Indian, Biryani, Rolls, Beverages",1673
"Sandwich, Salad, North Indian, Chinese",2141
"Arabian, Seafood, North Indian, Chinese, BBQ, Biryani, Beverages",164
"Hyderabadi, Andhra, Chinese, Biryani",1303
"Biryani, Chinese, Andhra",361
"Hyderabadi, Chinese, Biryani, Arabian",1310
"Bengali, Chinese, North Indian, Seafood",273
"Chinese, North Indian, Arabian, Biryani",802
"Kerala, South Indian, North Indian, Chinese, Beverages",1476
"Biryani, South Indian, Chinese",449
"Chinese, Fast Food, Italian",769
"Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",130
"Andhra, North Indian, South Indian",96
"North Indian, Chinese, Fast Food, Beverages",1737
"Chinese, Fast Food, North Indian, Rolls",772
"Kebab, North Indian, Chinese",1426
"North Indian, Chinese, Japanese, European, Seafood",1751
"Chinese, North Indian, Rolls",827
"North Indian, Chinese, Arabian, Mughlai",1695
"Pizza, Desserts",2070
"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",2323
"Bengali, Biryani, North Indian, Chinese, Fast Food",268
"North Indian, Chinese, Middle Eastern",1765
"North Indian, Asian, Continental, Bengali, Momos",1636
"North Indian, Street Food, Mithai, Chinese",2040
"Chinese, Seafood, North Indian, Biryani, Desserts",847
"Fast Food, Sandwich, Beverages",1211
"North Indian, Lucknowi, Mughlai, Biryani",1905
"Rolls, North Indian, Mughlai",2113
"Biryani, South Indian, North Indian",455
"Continental, European, Salad, Beverages, Italian, Burger",950
"Tamil, South Indian",2367
"Chinese, Fast Food, Beverages",765
"Chinese, North Indian, Bengali",804
"Chinese, North Eastern",797
"South Indian, North Indian, Kerala",2290
"South Indian, Bakery, Fast Food",2194
"North Indian, Pizza, Asian, Italian",1953
"Continental, North Indian, Chinese, Salad",1018
"North Indian, Chinese, Kebab, Mughlai",1757
"Chinese, North Indian, South Indian, Biryani, Andhra",831
"South Indian, Andhra, Biryani",2187
"North Indian, Thai, Chinese, Continental",2043
"Bakery, French, Fast Food",256
"Fast Food, North Indian, Finger Food",1196
"Biryani, North Indian, South Indian, Fast Food",438
"Chinese, Andhra",722
"North Indian, Chinese, Arabian, Juices",1692
"North Indian, South Indian, Kerala",2019
"North Indian, Kebab, Seafood, Chinese",1896
"Kerala, Fast Food, Beverages",1447
"North Indian, South Indian, Chinese, Kerala",2000
"Andhra, South Indian, Chettinad",103
"South Indian, Juices",2247
"South Indian, Street Food, Beverages",2305
"Kerala, Juices",1448
"Kerala, North Indian, Chinese, South Indian",1458
"Andhra, South Indian, North Indian, Chinese",109
"Chinese, Hyderabadi, Mughlai, South Indian",776
"Continental, South Indian, North Indian",1046
"Street Food, Chinese, North Indian, South Indian",2334
"North Indian, Kerala, Biryani, South Indian",1898
"Kerala, Biryani, Chinese, North Indian",1434
"North Indian, Momos",1915
"Fast Food, South Indian, North Indian",1220
"Biryani, North Indian, Beverages",414
"North Indian, Chinese, Andhra, Seafood",1686
"Continental, Mughlai, North Indian, Chinese",999
"Desserts, Street Food",1093
"North Indian, Continental, British",1823
"Singaporean, Chinese, Thai, Malaysian",2183
"Andhra, North Indian, Biryani, Seafood",87
"Chinese, Vietnamese, Thai, Malaysian",881
"South Indian, Street Food, Chinese",2307
"South Indian, Mangalorean, Chinese",2258
"Andhra, North Indian, Chinese, South Indian",95
"Burger, Italian, North Indian, Chinese",480
"North Indian, Chinese, Seafood, South Indian",1793
"North Indian, Chinese, Rajasthani",1781
"Biryani, South Indian, North Indian, Chinese",456
"Fast Food, Andhra",1118
"Bakery, Fast Food, Burger, Rolls, Beverages",247
"Pizza, American",2056
"Cafe, Continental, Beverages, Fast Food",567
"Middle Eastern, Fast Food, Rolls",1546
"Seafood, BBQ, Burger, Biryani",2144
"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",2152
"Biryani, Kebab, Continental",393
"Arabian, Chinese, North Indian",125
"North Indian, Chinese, Arabian, Biryani, Rolls",1691
"Steak, Continental, Burger, American, BBQ, European, Salad",2317
"Chinese, North Indian, Kerala, Mangalorean, Seafood",817
"Continental, Beverages",911
"Healthy Food, Desserts",1282
"Burger, BBQ",464
"Naga, Goan, Seafood, Chinese",1610
"Chinese, Malaysian",785
"Fast Food, Cafe",1151
"Thai, Vietnamese, Indonesian, Asian",2390
"Chettinad, Mangalorean, South Indian, North Indian",715
"Cafe, Italian, Pizza, Beverages, Desserts",662
"Ice Cream, Ice Cream",1334
"American, Burger, Momos, Bengali",8
"Biryani, Arabian",353
"Fast Food, Burger, North Indian, South Indian",1144
"Chinese, Finger Food, North Indian, Seafood",775
"Turkish, Fast Food",2404
"Mughlai, Biryani, Rolls",1586
"Biryani, Kerala",398
"Mughlai, Desserts",1593
"Rolls, Arabian",2100
"Burger, Desserts",471
"Lebanese, Arabian, Middle Eastern, Salad, Beverages",1487
"North Indian, Chinese, Seafood, Rolls",1792
"Street Food, North Indian, Continental, Beverages",2353
"Arabian, Pizza, Greek, Lebanese, Mediterranean",160
"Cafe, American, Asian, North Indian",494
"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",182
"Finger Food, Fast Food",1246
"Cafe, Burger, Pizza, Sandwich",541
"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",705
"Cafe, American, Burger, Beverages",496
"Asian, Thai, North Indian",206
"Cafe, Burger, Sandwich, Beverages",544
"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",511
"Cafe, Bakery, Fast Food, Desserts",520
"Cafe, Italian, Continental, European, Biryani, Chinese",653
"Cafe, Sandwich, Fast Food, Beverages, Desserts",697
"Cafe, Italian, European",655
"Cafe, Burger, Continental, Chinese",533
"North Indian, Biryani, Seafood",1674
"Street Food, Fast Food, Chinese, Momos",2338
"Andhra, Fast Food",78
"Mangalorean, North Indian, Chinese",1512
"Hyderabadi, North Indian, South Indian, Biryani",1315
"Continental, Seafood, Bengali, Fast Food",1043
"Bakery, Sandwich",261
"Biryani, Hyderabadi, Charcoal Chicken, North Indian",386
"South Indian, North Indian, Biryani",2265
"Chinese, North Indian, Arabian, Kerala",803
"Mughlai, Awadhi, Kebab",1580
"Thai, Momos",2388
"Continental, North Indian, South Indian",1030
"Fast Food, Sandwich, Salad, Healthy Food",1215
"Continental, Fast Food, Chinese, Burger",953
Belgian,265
"Fast Food, Juices, Chinese",1183
"Street Food, Mithai, Desserts, North Indian",2345
"Biryani, Rolls, Fast Food",440
"Bakery, Kerala",259
"Andhra, North Indian, Chinese, Biryani, Seafood",90
"Italian, Beverages",1350
"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",2064
"Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani",2328
"Arabian, BBQ, Rolls, Lebanese",114
"Continental, Asian, Chinese, Italian, North Indian",900
"Kerala, South Indian, Fast Food",1473
"Healthy Food, Sandwich, Salad",1299
"Continental, North Indian, Chinese, Burger, Pizza, Salad",1011
"North Indian, South Indian, Oriya",2023
"Mughlai, Biryani, Fast Food",1583
"Turkish, Arabian, Fast Food, Desserts, Healthy Food, Salad",2400
"American, Modern Indian, Italian, South Indian",38
"Fast Food, Chinese, North Indian, American",1157
"Street Food, Mithai, Momos",2346
"Bakery, Juices",258
"Chinese, Continental, North Indian, Finger Food",752
"Continental, Finger Food, Asian, Chinese",959
"North Indian, Continental, Fast Food, Beverages, Pizza",1835
"Continental, North Indian, Chinese, Finger Food",1013
"Modern Indian, Continental",1565
"Continental, Healthy Food",966
"Street Food, Burger, Fast Food",2330
"Street Food, Chinese, Fast Food",2332
"Desserts, Sandwich, Fast Food, Beverages",1091
"Mughlai, Chinese, North Indian, South Indian, Beverages",1591
"Andhra, Hyderabadi",79
"South Indian, Kebab, Chinese, Biryani",2248
"Continental, Asian, Italian, North Indian",903
"North Indian, BBQ, Mughlai",1642
"American, Continental, North Indian, Mediterranean",17
"Continental, American, Asian, North Indian, Burger",887
"Italian, Pizza, Mexican",1386
"South Indian, Chettinad, Kerala, Sri Lankan",2209
"Cafe, Continental, Italian, German, French, Spanish",587
"Asian, Chinese, Thai, Korean",177
"Biryani, Chinese, Continental, North Indian, Pizza",363
"European, Italian, Asian",1106
"North Indian, Continental, Chinese, European",1828
"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",1761
"North Indian, Italian, Asian, Continental, Mediterranean",1879
"Chinese, Continental, North Indian, South Indian, Arabian",759
"Cafe, Continental, Tea, Beverages, Desserts",606
"Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",565
"Cafe, Tea, Beverages, Fast Food",704
"Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",1321
"Cafe, Continental, Desserts",575
"Cafe, Healthy Food, Momos",635
"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",2335
"Desserts, Bakery, Cafe",1061
"Cafe, Continental, Momos, Italian, North Indian",592
"Cafe, Italian, Pizza, Burger, Beverages",663
"Continental, Cafe, Steak",929
"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",510
"Desserts, Cafe, Bakery",1070
"Cafe, North Indian, Chinese, Fast Food",682
"Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza",2120
"Cafe, Desserts, Beverages, Italian",611
"Cafe, Italian, Tex-Mex, Fast Food, Burger",667
"Continental, Pizza, North Indian, Goan, Burger, Cafe",1039
"Cafe, Coffee, Continental",555
"Cafe, Italian, French",658
"Cafe, Mediterranean, Bakery, Greek",670
"Desserts, Cafe, Italian, Beverages",1075
"Asian, Continental, Mediterranean, Salad, American, Biryani",187
"Biryani, Mangalorean, Kerala",402
"Seafood, South Indian, Chinese, Kerala",2180
"North Indian, Mughlai, Bengali, Chinese",1922
"Pizza, Chinese, North Indian",2066
"Fast Food, Momos, Rolls",1189
"North Indian, Bengali, Chinese",1645
"Street Food, North Indian, Bengali, Oriya",2351
"Chettinad, Biryani, South Indian, Seafood",713
"Asian, Thai, Vietnamese, Malaysian, Beverages",207
"Burger, Rolls, Sandwich, North Indian",486
"Seafood, Mangalorean, North Indian, Biryani",2166
"Desserts, Juices, Fast Food",1086
"Asian, Burmese",171
"French, Sandwich, Salad",1261
"Beverages, Fast Food, Ice Cream",307
"North Indian, Street Food, Chinese",2033
"American, Asian, European, North Indian",4
"Biryani, North Indian, Mangalorean, Seafood",431
"North Indian, Biryani, Mughlai, Rolls",1672
"Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",462
"Italian, Seafood, American, Continental",1392
"Bakery, Fast Food, Street Food",254
"Fast Food, Lebanese",1185
"Continental, Modern Indian",997
"Street Food, North Indian, Rolls",2356
"Kerala, Mangalorean, Seafood",1451
"Street Food, American",2322
"Ice Cream, Fast Food",1330
"Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",919
"North Indian, South Indian, Gujarati, Bengali, Street Food",2016
"Continental, Healthy Food, Beverages",967
"Indonesian, Thai, Vietnamese, Asian, Chinese, Continental, Malaysian",1339
"Sandwich, Rolls",2140
"Healthy Food, Salad, Continental",1295
"Continental, Fast Food, Salad",956
Burmese,491
"Fast Food, North Indian, Continental",1195
"Oriya, North Indian, Bengali, Chinese",2050
"Burger, Fast Food, Healthy Food, Beverages",478
"Healthy Food, Mexican, Asian, Continental",1286
"Healthy Food, Beverages, European, Salad",1273
"Italian, North Indian, Mexican, Chinese",1380
"North Indian, Rolls, Kebab",1959
"North Indian, Chinese, Rolls, Juices",1787
"Pizza, Italian, Chinese, Rolls, Biryani",2078
"Arabian, Rolls",161
"North Indian, Biryani, Seafood, Chinese, Mangalorean",1675
"Beverages, Salad",333
"American, Goan",32
"Chinese, Mangalorean, North Indian",786
Hyderabadi,1302
"Chinese, European",762
"North Indian, Continental, Chinese, Italian",1829
"Chinese, North Indian, Momos",820
"Chinese, Kerala, North Indian",783
"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts, Street Food",1996
"Desserts, Ice Cream, Fast Food",1084
"Bakery, European",243
"Cafe, North Indian, Chinese, Biryani, Beverages",680
"North Indian, South Indian, Fast Food",2011
"Modern Indian, European, American",1567
"Italian, American, Pizza",1346
"South Indian, Finger Food",2243
"Sushi, Continental, Pizza, Italian, Asian",2364
"Continental, Salad, Burger, Finger Food, Pizza",1041
"Chinese, Continental, North Indian, Mexican",755
"European, Continental, Asian, Finger Food",1102
"Russian, Continental, North Indian",2117
"Italian, Mediterranean, Pizza",1369
"Vietnamese, Salad",2408
"Seafood, Continental, North Indian, South Indian",2158
"Chinese, Continental, Finger Food, Italian",747
"Continental, European, Asian, Seafood, Spanish",947
"Continental, North Indian, Italian",1022
"Thai, Chinese, North Indian, Continental, Steak",2384
"Finger Food, South Indian, Continental",1258
"Chinese, Asian, Japanese",729
"North Indian, Chinese, Continental, Bengali",1720
"North Indian, Modern Indian",1914
"Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai",896
"Continental, South Indian, Mangalorean, Chinese, North Indian, Seafood",1045
"Chinese, Continental, American, Steak",743
"American, Finger Food, Italian, Mexican",31
"Chinese, Continental, Steak",761
"American, Mexican",35
"Coffee, Street Food",884
"South Indian, North Indian, Fast Food, Street Food",2289
"Sandwich, Fast Food, Beverages",2135
"Fast Food, Sandwich, Juices",1214
"Continental, North Indian, Finger Food",1021
"Seafood, Kerala",2161
"North Indian, Chinese, Andhra, Mangalorean",1685
"Burger, Desserts, Italian, Pizza, Salad",473
"Seafood, Mexican, Continental, Finger Food",2169
"Kerala, Seafood, Biryani",1461
"South Indian, North Indian, Street Food, Chinese, Beverages",2298
"South Indian, Chinese, North Indian, Street Food",2227
"South Indian, North Indian, Seafood",2293
"Thai, Japanese, Chinese",2386
"European, Spanish, Continental, Italian",1115
"French, Italian",1259
"Mughlai, Chinese, Kebab",1588
"Chinese, Continental",742
"North Indian, Chinese, Mughlai, Mexican, BBQ",1774
"North Indian, Afghan",1618
"Healthy Food, Pizza, Italian, South Indian, North Indian",1293
"North Indian, Fast Food, South Indian",1864
"Cafe, Burger, Fast Food",536
"North Indian, Mughlai, Chinese, South Indian, Mangalorean",1937
"Fast Food, Burger, Italian, Beverages",1143
"Asian, BBQ, South Indian, Chinese",167
"Mithai, Street Food, Rajasthani",1562
"Ice Cream, Desserts, Fast Food",1327
"Finger Food, North Indian, Continental",1253
"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",937
"Finger Food, Continental, North Indian, Chinese",1241
"Mexican, American",1540
"Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",157
"Fast Food, Italian, North Indian, Steak",1180
"North Indian, Maharashtrian",1906
"North Indian, South Indian, Chinese, Grill",1998
"Cafe, Chinese, Arabian",546
"Street Food, Sandwich, Rolls, Beverages",2361
"Kerala, Arabian, Seafood, Beverages",1431
"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",442
"Continental, North Indian, Chinese, Pizza, Thai",1017
"North Indian, Mughlai, Biryani, South Indian, Beverages",1927
"Biryani, Chinese, Mughlai, Andhra",368
"Salad, Healthy Food, Italian, Juices, Mexican, Pizza",2127
"North Indian, Seafood, Middle Eastern, Chinese",1967
European,1096
"Cafe, Continental, Bakery",563
"Continental, Thai, Arabian, Mexican",1052
"North Indian, Chinese, Cafe, Desserts",1718
"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",586
"Cafe, American, Italian, Continental",506
"Burger, Cafe, Drinks Only, Juices",468
"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",521
"Cafe, Burger, Italian, Desserts",538
"Cafe, Fast Food, Chinese, Beverages",621
"Cafe, Continental, American, Beverages",558
"Cafe, Continental, Chinese, Momos",573
"North Indian, Cafe, Chinese",1678
"North Indian, Chinese, South Indian, Street Food",1805
"North Eastern, Street Food",1616
"North Indian, Gujarati, Street Food",1870
"North Indian, Biryani, Chinese, Street Food",1667
"North Indian, South Indian, Chinese, Beverages",1985
"Chinese, North Indian, Hyderabadi, Biryani",815
"Healthy Food, Continental, North Indian",1281
"Beverages, Fast Food, Italian",308
"Chinese, Oriya, North Indian, Bengali",837
"South Indian, Mangalorean, Kerala",2260
"Continental, Italian, Burger, American",972
"Arabian, Chinese, Fast Food, Beverages",121
"Chinese, Thai, Pan Asian",868
"Kerala, North Indian, Chinese, Arabian",1454
"Goan, Mangalorean",1265
"Chinese, Mangalorean, Seafood, North Indian",787
"Chinese, North Indian, Mexican, Fast Food",819
"Rajasthani, North Indian, Chinese",2096
"Finger Food, Continental, Italian, Salad",1239
"Seafood, Biryani, South Indian, Chettinad",2148
"Continental, Burger, Salad, Pizza, Beverages",922
"South Indian, Chettinad",2205
"Andhra, Chinese, North Indian, Seafood",74
"Arabian, Kerala, North Indian, Chinese, Beverages",132
"Andhra, South Indian, Biryani",100
"Rolls, Fast Food, Biryani",2104
"Andhra, North Indian, Biryani, Beverages",86
"Biryani, Chinese, North Indian, Bengali",371
"Continental, North Indian, Chinese, Steak",1019
"Mughlai, Biryani, North Indian",1585
"Iranian, Mughlai, Chinese",1340
"Chinese, Beverages",734
"Beverages, Desserts, Juices",302
"Andhra, Biryani, Seafood, North Indian",64
"Beverages, Fast Food, Bakery",304
"American, South Indian, Thai, Pizza, Italian",48
"Asian, Chinese, Japanese, BBQ",175
"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese",190
"North Indian, Continental, Chinese, Mexican, Italian",1830
"Street Food, Beverages, Fast Food",2325
"Fast Food, BBQ, Rolls, Arabian, North Indian",1122
"Seafood, South Indian, North Indian",2181
"Asian, Chinese, Thai, Seafood, Momos",179
"Mediterranean, Continental, Italian, Salad",1530
"Italian, Chinese, Continental",1352
"Salad, Chinese",2121
"Continental, North Indian, Chinese, Italian",1014
"Fast Food, Raw Meats",1204
"Continental, American, Chinese, BBQ, Salad, Italian",889
"Beverages, Juices, Finger Food",322
"Fast Food, Burger, Pizza, Sandwich",1146
"Street Food, Momos",2349
"Chinese, Asian, Malaysian",730
"South Indian, BBQ",2192
"Kerala, Chinese, Arabian, Biryani",1442
"Tea, Coffee, Fast Food",2374
"Asian, North Indian",199
"Mughlai, North Indian, Biryani, Chinese",1601
"Fast Food, Beverages, Rolls",1131
"Arabian, Mughlai, North Indian, Chinese, Rolls",145
"Pizza, Fast Food, American, Italian",2072
"Turkish, Chinese",2402
"North Indian, Chinese, Mughlai, Biryani",1770
"Continental, Fast Food, European",954
"North Indian, Finger Food, Chinese",1867
"South Indian, Fast Food, Kerala, Beverages",2239
"Chinese, Pizza, Fast Food",838
"South Indian, Mangalorean, Chinese, Juices",2259
"Seafood, Biryani, South Indian",2147
"Finger Food, Italian, Continental",1248
"Fast Food, Maharashtrian, Rolls",1186
"Seafood, Biryani, South Indian, North Indian, Rolls",2154
"South Indian, North Indian, Chinese, Kerala",2277
"Mughlai, Chinese, South Indian",1592
"Bakery, Beverages",228
"Beverages, Juices, Street Food",329
"Continental, Italian, Mexican, Asian",980
"Continental, North Indian, South Indian, Italian",1032
"Continental, American, Indonesian, Asian, Thai",891
